"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLEKHM1",-1.06967470297952,11.9894442434823,-14.7034689340126,1.14743442788873e-38,1.15753029764342e-37,76.8131426424452
"PPT1",1.11633504376164,12.6983917127561,20.5432955097427,1.24066403112261e-62,3.89991508974676e-61,131.849866980174
"PTGDS",-1.81330287150838,13.588254972067,-20.2731492814001,1.61032935649291e-61,4.81644663381811e-60,129.291910381804
"RAB34",1.05534933426443,12.9998713831471,13.4408636613532,1.15442026317183e-33,9.48895258597948e-33,65.3401982458837
"ABL2",1.20133705586592,9.44319912569832,19.3929362525122,6.92639925337644e-58,1.70406570902188e-56,120.943491043967
"ATP6V0D2",2.27567004581006,7.21209629944134,16.8647017187997,1.87713979606784e-47,2.81193654878303e-46,96.9801088276599
"ATP6V1C1",1.21919678212291,12.7808906955307,26.444366527839,2.05643095497051e-86,2.07804090737868e-84,186.4965075995
"ATP6V1D",-1.01335202094972,10.1313664425978,-21.272441653646,1.24578659378701e-65,4.58480226676429e-64,138.739206891145
"STAT1",1.69743324301676,13.5234729902235,22.1837180283391,2.32056830069573e-69,1.00255276874985e-67,147.310176312276
"GALNS",1.09511685055866,11.3150312534916,22.4920778211166,1.28441910392935e-70,5.90568639919804e-69,150.19850495984
"CTSG",-1.33516099720671,12.0087827248603,-13.0577682776602,3.57168011492164e-32,2.74411815014985e-31,61.9237632177379
"CTSK",1.80775231005586,12.3014374273743,15.4676320689629,9.51220631158689e-42,1.09693953635747e-40,83.8839419500456
"MTF1",-1.16008170391061,12.4102131731844,-12.4073337329452,1.11751988548673e-29,7.59709641650159e-29,56.2064004539021
"AP4B1",-1.01703659553073,10.1248450703911,-10.017788023045,5.31542211558075e-21,2.39656264076827e-20,36.3581178064539
"ASAH1",-1.19076491340782,13.9118467458101,-18.3638547933701,1.24041045075348e-53,2.47335354762282e-52,111.173179194036
"ATP10B",-1.03467855391061,12.4119730467877,-12.4016485187618,1.17450452181616e-29,7.96934289727007e-29,56.1569266447583
"ATP6V0A4",-2.62667309888268,9.1436517952514,-16.028460835429,4.98189310680583e-44,6.41512887748949e-43,89.119254954507
"BLK",-1.09130388240223,6.3136520674581,-9.53223728222499,2.3510397885689e-19,9.75654238012608e-19,32.6021292255069
"MMP1",5.5444259047486,11.3993165892458,39.3683434586198,1.44515629888824e-132,3.23100819523938e-129,292.464703246413
"MIA",-1.71325504581006,9.0578380452514,-8.32669139748089,1.75239069746533e-15,5.94072403617606e-15,23.7813706133225
"ADGRE2",1.12010136843576,9.76067131382682,13.0670176926779,3.28895475936574e-32,2.53233942427962e-31,62.0058433040599
"CA9",2.82582543854749,9.30394032374302,15.4458787626088,1.16533503726155e-41,1.33610144079872e-40,83.6815907266386
